sector,fiscal_year,number_of_agents,total_apprehensions,other_than_mexican_apprehensions,marijuana_pounds,cocaine_pounds,accepted_prosecutions,assaults,rescues,deaths,accompanied_juveniles,unaccompanied_juveniles,total_juveniles,total_adults,female_apprehensions,male_apprehensions,family_apprehensions
el centro,2002,683,108273,,,,,,,64,,,,,,,NA
el paso,2002,1122,94154,,,,,,,8,,,,,,,NA
laredo,2002,969,82095,,,,,,,15,,,,,,,NA
rio grande valley,2002,1484,89927,,,,,,,30,,,,,,,NA
san diego,2002,1807,100681,,,,,,,24,,,,,,,NA
tucson,2002,1626,333648,,,,,,,134,,,,,,,NA
yuma,2002,323,42654,,,,,,,12,,,,,,,NA
southwest border,2002,9239,929809,,,,,,,320,,,,,,,NA
big bend,2001,194,12087,,,,,,,3,,,,,,,NA
del rio,2001,893,104875,,,,,,,41,,,,,,,NA
el centro,2001,589,172852,,,,,,,96,,,,,,,NA
el paso,2001,1086,112857,,,,,,,10,,,,,,,NA
laredo,2001,921,87068,,,,,,,28,,,,,,,NA
rio grande valley,2001,1451,107844,,,,,,,37,,,,,,,NA
san diego,2001,2004,110075,,,,,,,21,,,,,,,NA
tucson,2001,1686,449675,,,,,,,80,,,,,,,NA
yuma,2001,323,78385,,,,,,,24,,,,,,,NA
southwest border,2001,9147,1235718,,,,,,,340,,,,,,,NA
big bend,2000,196,13689,,,,,,,3,,,,,,,NA
del rio,2000,758,157178,,,,,,,48,,,,,,,NA
el centro,2000,502,238126,,,,,,,72,,,,,,,NA
el paso,2000,1036,115696,,,,,,,26,,,,,,,NA
laredo,2000,806,108973,,,,,,,47,,,,,,,NA
rio grande valley,2000,1368,133243,,,,,,,40,,,,,,,NA
san diego,2000,2053,151681,,,,,,,34,,,,,,,NA
tucson,2000,1548,616346,,,,,,,74,,,,,,,NA
yuma,2000,313,108747,,,,,,,36,,,,,,,NA
southwest border,2000,8580,1643679,,,,,,,380,,,,,,,NA
big bend,1999,144,14952,,,,,,,0,,,,,,,
del rio,1999,639,156653,,,,,,,30,,,,,,,
el centro,1999,423,225279,,,,,,,56,,,,,,,
el paso,1999,957,110857,,,,,,,15,,,,,,,
laredo,1999,685,114004,,,,,,,37,,,,,,,
rio grande valley,1999,1166,169151,,,,,,,36,,,,,,,
san diego,1999,2136,182267,,,,,,,25,,,,,,,
tucson,1999,1328,470449,,,,,,,29,,,,,,,
yuma,1999,228,93388,,,,,,,21,,,,,,,
